tweet_id,label
25800,joy
13738,anger
17016,joy
39361,anger
19389,anger
14822,anger
19737,anger
36145,anger
12865,anger
28558,joy
32184,trust
22538,anger
20497,anger
20032,joy
27674,anger
36726,joy
18543,anger
18581,joy
17656,surprise
40533,trust
21911,joy
27923,sadness
36602,joy
23731,sadness
43578,joy
21837,anger
43850,anger
30973,joy
20708,anger
28307,anger
27945,anger
12664,anger
4097,anger
14551,trust
16498,anger
9586,anger
25595,anger
16873,joy
24005,anger
10716,joy
18733,joy
16847,trust
33598,joy
13579,anger
13039,anger
41601,anger
13837,joy
15512,joy
27226,anger
16671,trust
35487,trust
20127,joy
30206,anger
1669,anger
26863,joy
21433,trust
13898,joy
29875,anger
13804,joy
19521,anger
19661,sadness
20564,anger
32379,joy
25956,joy
34589,anger
38877,joy
29780,anger
15341,anger
38112,anger
30717,joy
24432,sadness
17793,trust
19331,surprise
3115,anger
24609,anger
33238,trust
11637,joy
24078,joy
41666,anger
1637,anger
34380,joy
26182,anger
11746,anger
26546,anger
37367,anger
29765,anger
26691,anger
15565,sadness
4919,anger
26967,anger
40022,anger
37191,anger
26663,joy
4605,anger
21191,trust
20647,anger
21070,anger
42396,joy
8811,joy
12576,anger
13526,anger
28877,anger
6052,joy
25934,anger
34880,joy
14164,anger
18475,anger
16783,sadness
7507,anger
3066,joy
11096,joy
13410,anger
28456,anger
44051,joy
20680,joy
39587,joy
22661,anger
4937,joy
21456,joy
31620,anger
30575,anger
8099,sadness
39403,anger
9438,joy
29195,joy
15245,joy
7526,joy
13388,joy
15015,joy
5194,joy
19430,anger
13205,joy
27968,anger
4149,anger
629,anger
17590,anger
25705,anger
12794,joy
38761,joy
29314,joy
10003,anger
4866,joy
9579,joy
11420,anger
25365,anger
40341,joy
25493,trust
19717,sadness
14395,sadness
26702,joy
26205,joy
19417,anger
13427,joy
27104,joy
28357,joy
22260,anger
25870,anger
1706,anger
14232,joy
13389,anger
23377,anger
5935,joy
9428,joy
7493,joy
6649,anger
11127,anger
23754,anger
18788,anger
30183,trust
17479,anger
13166,anger
9524,sadness
23650,anger
28523,joy
14228,joy
1531,surprise
22793,anger
25195,sadness
1657,anger
12961,joy
12750,joy
2799,anger
21337,joy
17973,trust
15938,anger
34794,joy
26104,joy
43748,anger
34533,anger
24559,joy
42904,joy
22604,joy
8050,anger
16211,joy
16510,joy
30997,joy
9558,joy
35758,joy
5177,joy
26791,joy
40098,joy
22907,joy
22088,anger
26073,joy
505,joy
43461,anger
30624,anger
5085,anger
24649,anger
19807,joy
18319,anger
27948,anger
15741,joy
30354,sadness
24083,joy
34489,joy
18655,sadness
16311,anger
37735,sadness
32439,sadness
17767,joy
12559,fear
42690,anger
43119,joy
35030,anger
38477,anger
17190,anger
37152,anger
37637,anger
32328,sadness
41376,anger
37909,anger
12228,joy
16540,surprise
33438,anger
19961,surprise
12793,surprise
37730,joy
38953,anger
3167,anger
14269,anger
22479,sadness
41161,joy
2752,anger
17554,anger
44766,joy
10410,anger
